unnamed:_0,autoritate_tutelar,intreprindere,cui,personal,calitate,suma,indemnizatie_variabila,suma_num,indemnizatie_variabila_num
1,AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA,PISCICOLA CALARASI,1923799,Chiriac Petronel,Membru CA/CS,"4,455",,4455.0,0.0
1,AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA,PISCICOLA CALARASI,1923799,Avramescu Roxana,Membru CA/CS,"4,050",,4050.0,0.0
1,AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA,PISCICOLA CALARASI,1923799,Ghita Daniel,Membru CA/CS,,,0.0,0.0
1,AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA,PISCICOLA CALARASI,1923799,Ghita Daniel,Director/directorat,"1 2,820",,12820.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ionut Sebastian Iavor,Membru CA/CS,"3 1,530",,31530.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Laura Cristina Stanislav Bogdan,Membru CA/CS,"3 1,530",,31530.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Corina Luminița Vulpeș,Membru CA/CS,"3 1,530",,31530.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Andrei Tiberiu Novac,Membru CA/CS,"3 1,530",,31530.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Catalin Lungu,Membru CA/CS,"3 1,530",,31530.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ioan Nani,Membru CA/CS,,,0.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Ioan Nani,Director/directorat,"6 3,060",Nu a fost stabilită,63060.0,0.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Paula Luminita Coman,Director/directorat,"4 2,585","1 92,828",42585.0,192828.0
2,MINISTERUL SANATATII,ANTIBIOTICE,1973096,Stefania Alexandru,Director/directorat,"43,035","1 94,880",43035.0,194880.0
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Danut Cristian Popa,Membru CA/CS,"1 0,301",,10301.0,0.0
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Monica Patricia Amarie,Membru CA/CS,"1 0,301",,10301.0,0.0
3,MINISTERUL SANATATII,CN UNIFARM,11653560,Laurentiu Constantin Tudose,Membru CA/CS,"1 0,301",,10301.0,0.0
,MINISTERUL SANATATII,CN UNIFARM,11653560,Zaharia Viorela,Membru CA/CS,"1 0,301",,10301.0,0.0
