"nr_crt","autoritate_tutelara","intreprindere","cui","personal","calitate_membru","suma","indemnizatie_variabila","suma_num","indemnizatie_variabila_num"
"1","AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA","PISCICOLA CALARASI","1923799","Chiriac Petronel","Membru CA/CS","4,455","","4455","0"
"1","AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA","PISCICOLA CALARASI","1923799","Avramescu Roxana","Membru CA/CS","4,050","","4050","0"
"1","AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA","PISCICOLA CALARASI","1923799","Ghita Daniel","Membru CA/CS","","","0","0"
"1","AGENTIA NATIONALA PENTRU PESCUIT SI ACVACULTURA","PISCICOLA CALARASI","1923799","Ghita Daniel","Director/directorat","12,820","","12820","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Ionut Sebastian Iavor","Membru CA/CS","31,530","","31530","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Laura Cristina Stanislav Bogdan","Membru CA/CS","31,530","","31530","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Corina Luminița Vulpeș","Membru CA/CS","31,530","","31530","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Andrei Tiberiu Novac","Membru CA/CS","31,530","","31530","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Catalin Lungu","Membru CA/CS","31,530","","31530","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Ioan Nani","Membru CA/CS","","","0","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Ioan Nani","Director/directorat","63,060","","63060","0"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Paula Luminita Coman","Director/directorat","42,585","192,828","42585","192828"
"2","MINISTERUL SANATATII","ANTIBIOTICE","1973096","Stefania Alexandru","Director/directorat","43,035","194,880","43035","194880"
"3","MINISTERUL SANATATII","CN UNIFARM","11653560","Danut Cristian Popa","Membru CA/CS","10,301","","10301","0"
"3","MINISTERUL SANATATII","CN UNIFARM","11653560","Monica Patricia Amarie","Membru CA/CS","10,301","","10301","0"
"3","MINISTERUL SANATATII","CN UNIFARM","11653560","Laurentiu Constantin Tudose","Membru CA/CS","10,301","","10301","0"
